city,Population (2013),Budget,Mayor,Took office,Term ends,Government type,City elections in 2021?,Mayoral election in 2021?,rank,usps,pop2021,pop2010,growth,density,aland_sqmi,Rank_y,2010 population,2012 population,Growth / Decline,Jan,April,July,Oct ,Precip “,precip days,snowfall
Cleveland,390113,"$1,470,000,000",Frank Jackson (D),2006,2022,Strong mayor,Yes,Yes,54,OH,376599,395926,-0.0488,4847,77.694,48.0,396815.0,390928.0,-5887.0,25.7,47.6,71.9,52.2,38.71,155.0,57.6
Wichita,386552,"$577,000,000",Brandon Whipple (D),2020,2024,Council-manager,Yes,No,50,KS,391352,382745,0.0225,2421,161.662,49.0,382368.0,385577.0,3209.0,30.2,55.3,81.0,58.6,30.38,85.0,15.9
Arlington,379577,"$490,000,000",Jim Ross (Unknown),2021,2023,Council-manager,Yes,Yes,49,TX,400316,365892,0.0941,4180,95.779,50.0,365438.0,375600.0,10162.0,,,,,,,
Arlington,379577,"$490,000,000",Jim Ross (Unknown),2021,2023,Council-manager,Yes,Yes,98,VA,233464,207627,0.1244,8980,25.997,50.0,365438.0,375600.0,10162.0,,,,,,,
New Orleans,378715,"$505,000,000",LaToya Cantrell (D),2018,2022,Strong mayor,Yes,Yes,53,LA,388424,347772,0.1169,2292,169.434,51.0,343829.0,369250.0,25421.0,52.6,68.2,82.7,70.0,64.16,114.0,0.2
Bakersfield,363630,"$418,000,000",Karen Goh (R),2017,2025,Council-manager,No,No,51,CA,389007,348987,0.1147,2598,149.758,52.0,347483.0,358597.0,11114.0,,,,,,,
Tampa,352957,"$830,000,000",Jane Castor (D),2019,2023,Strong mayor,No,No,47,FL,404636,337053,0.2005,3549,114.017,53.0,335709.0,347645.0,11936.0,61.3,71.5,82.5,75.8,44.77,106.0,trace
Aurora,345803,"$591,400,000",Mike Coffman (R),2019,2023,Council-manager,Yes,No,52,CO,388723,326055,0.1922,2520,154.272,56.0,325078.0,339030.0,13952.0,,,,,,,
Aurora,345803,"$591,400,000",Mike Coffman (R),2019,2023,Council-manager,Yes,No,136,IL,194873,198207,-0.0168,4330,45.009,56.0,325078.0,339030.0,13952.0,,,,,,,
Anaheim,345012,"$1,600,000,000",Harry Sidhu (R),2018,2022,Council-manager,No,No,55,CA,349699,336760,0.0384,6950,50.32,55.0,336265.0,343248.0,6983.0,,,,,,,
Santa Ana,334227,"$430,000,000",Vicente Sarmiento (D),2020,2022,Council-manager,No,No,59,CA,333130,325327,0.024,12175,27.361,57.0,324528.0,330920.0,6392.0,,,,,,,
St. Louis,318416,"$985,200,000",Tishaura Jones (D),2021,2025,Strong mayor,Yes,Yes,69,MO,294890,319336,-0.0766,4776,61.744,58.0,319294.0,318172.0,-1122.0,29.6,56.6,80.2,58.3,38.75,111.0,19.6
Riverside,316619,"$894,000,000",Patricia Lock Dawson (Nonpartisan),2012,2024,Council-manager,Yes,No,58,CA,334772,305466,0.0959,4120,81.258,59.0,303871.0,313673.0,9802.0,,,,,,,
Corpus Christi,316381,"$772,000,000",Paulette Guajardo (Nonpartisan),2020,2022,Council-manager,No,No,60,TX,327144,305272,0.0716,2048,159.703,60.0,305215.0,312195.0,6980.0,,,,,,,
Lexington,308428,"$540,000,000",Linda Gorton (R),2019,2023,Strong mayor,No,No,61,KY,324604,296848,0.0935,1144,283.637,,,,,32.0,54.6,76.1,56.6,45.91,130.0,16.1
Pittsburgh,305841,"$488,000,000",Bill Peduto (D),2014,2022,Strong mayor,Yes,Yes,67,PA,299718,305283,-0.0182,5412,55.376,61.0,305704.0,306211.0,507.0,27.5,49.9,72.6,52.5,37.85,152.0,43.6
Anchorage,300950,"$471,000,000",David Bronson (R),2021,2024,Hybrid,Yes,Yes,74,AK,282958,293321,-0.0353,166,1706.8,,,,,15.8,36.3,58.4,34.1,16.08,115.0,70.8
