CoC Number,CoC Name,City,CocState
MD-601,Montgomery County CoC,Silver Spring,MD
ME-500,Maine Statewide CoC,Bangor,ME
MI-500,Michigan Balance of State CoC,Lansing,MI
MI-501,Detroit CoC,DETROIT,MI
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Wyandotte,MI
MI-503,"St. Clair Shores, Warren/Macomb County CoC",Roseville,MI
MI-504,"Pontiac, Royal Oak/Oakland County CoC",Pontiac,MI
MI-505,Flint/Genesee County CoC,FLINT,MI
MI-506,"Grand Rapids, Wyoming/Kent County CoC",Grand Rapids,MI
MI-507,"Portage, Kalamazoo City & County CoC",Kalamazoo,MI
MI-508,"Lansing, East Lansing/Ingham County CoC",LANSING,MI
MI-509,Washtenaw County CoC,Ypsilanti,MI
MI-510,Saginaw City & County CoC,Saginaw,MI
MI-511,Lenawee County CoC,Adrian,MI
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",TRAVERSE CITY,MI
MI-514,Battle Creek/Calhoun County CoC,BATTLE CREEK,MI
MI-515,Monroe City & County CoC,MONROE,MI
MI-516,"Norton Shores, Muskegon City & County CoC",Muskegon,MI
MI-517,Jackson City & County CoC,JACKSON,MI
MI-518,Livingston County CoC,,MI
MI-519,Holland/Ottawa County CoC,GRAND HAVEN,MI
MI-523,Eaton County CoC,Charlotte,MI
MN-500,Minneapolis/Hennepin County CoC,MINNETONKA,MN
MN-501,Saint Paul/Ramsey County CoC,St. Paul,MN
MN-502,Rochester/Southeast Minnesota CoC,MANKATO,MN
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Anoka,MN
MN-504,Northeast Minnesota CoC,Minneapolis,MN
MN-505,St. Cloud/Central Minnesota CoC,Little Falls,MN
MN-506,Northwest Minnesota CoC,Red Lake,MN
MN-508,Moorhead/West Central Minnesota CoC,Moorhead,MN
MN-509,Duluth/St.Louis County CoC,Virginia,MN
MN-511,Southwest Minnesota CoC,willmar,MN
MO-500,St. Louis County CoC,MARYLAND HTS,MO
MO-501,St.Louis City CoC,St.Louis City,MO
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",SAINT CHARLES,MO
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Springfield,MO
MO-602,"Joplin/Jasper, Newton Counties CoC",WEBB CITY,MO
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",St. Joseph,MO
MO-604a,"Kansas City, Independence, Lee���s Summit/Jackson, Wyandotte Counties, MO & KS",Kansas City,
MO-606,Missouri Balance of State CoC,,MO
MP-500,Northern Mariana Islands CoC,Saipan,MP
MS-500,"Jackson/Rankin, Madison Counties CoC",JACKSON,MS
MS-501,Mississippi Balance of State CoC,Jackson,MS
MS-503,Gulf Port/Gulf Coast Regional CoC,Ocean Springs,MS
MT-500,Montana Statewide CoC,KALISPELL,MT
NC-500,Winston-Salem/Forsyth County CoC,WINSTON SALEM,NC
NC-501,Asheville/Buncombe County CoC,Asheville,NC
NC-502,Durham City & County CoC,Durham,NC
NC-503,North Carolina Balance of State CoC,LILLINGTON,NC
NC-504,"Greensboro, High Point CoC",High Point,NC
NC-505,Charlotte/Mecklenberg CoC,CHARLOTTE,NC
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Wilmington,NC
NC-507,Raleigh/Wake County CoC,Raleigh,NC
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",BELMONT,NC
