city,state,median household income (dollars)_2019,monthly cost_2019,owner occupied income_2019,owner occupied cost_2019,renter occupied income_2019,renter occupied cost_2019
stockton,ca,58808,1229,75947,1329,41075,1177
sumter,sc,52865,821,60230,787,39518,877
syracuse,ny,59568,936,82669,1039,33489,858
tallahassee,fl,53084,1042,84863,1088,34620,1022
tampa--st. petersburg,fl,58498,1118,71145,1049,42289,1175
temple,tx,56788,969,69697,1010,43841,949
terre haute,in,40323,689,60925,675,22209,694
texarkana--texarkana,tx--ar,45768,724,70804,643,33207,783
texas city,tx,55530,935,66766,853,38666,1029
thousand oaks,ca,117220,2433,137011,2583,81934,2282
toledo,oh--mi,51937,839,70621,923,30269,767
topeka,ks,54615,808,68397,788,38842,831
tracy,ca,98611,2019,109797,2156,83251,1864
trenton,nj,73178,1391,95092,1597,39120,1181
tucson,az,54387,921,72577,953,35565,897
tulsa,ok,57520,934,76914,1010,36980,876
turlock,ca,56624,1196,77040,1269,40317,1168
tuscaloosa,al,50350,939,80605,1018,31245,896
twin rivers--hightstown,nj,114983,2119,144867,2438,60749,1457
tyler,tx,55175,975,67659,914,41922,998
urban honolulu,hi,85362,1810,109695,1964,63699,1733
utica,ny,53396,877,69721,944,34388,781
vacaville,ca,91287,1841,115526,1905,65382,1777
valdosta,ga,39983,794,55439,731,32329,832
vallejo,ca,82523,1790,101934,1878,52794,1712
victoria,tx,55308,932,70554,882,36281,985
victorville--hesperia,ca,56833,1250,70825,1285,40128,1204
vineland,nj,52886,1215,70161,1348,33432,1117
virginia beach,va,66635,1279,85756,1397,46611,1183
visalia,ca,59217,1186,74214,1309,41862,1087
waco,tx,44636,861,66866,822,30851,876
waldorf,md,100722,1759,109856,1876,68697,1651
warner robins,ga,61821,960,80662,1022,38052,924
washington,dc--va--md,106656,1906,138287,2140,70579,1745
waterbury,ct,55444,1126,87009,1356,31966,983
waterloo,ia,57913,856,75158,882,40041,840
watsonville,ca,64935,1507,88869,1478,56793,1526
wausau,wi,59629,800,75075,829,37563,765
weirton--steubenville,wv--oh--pa,45313,635,57294,574,33917,690
