city,state,median household income (dollars)_2017,monthly cost_2017,owner occupied income_2017,owner occupied cost_2017,renter occupied income_2017,renter occupied cost_2017
clanton,al,29444,473,51149,453,20833,584
clare,mi,32296,645,52739,722,14157,578
claremont,nh,43700,903,55102,1075,32020,836
claremore,ok,46721,837,58337,879,32500,809
clarinda,ia,40498,529,54625,492,29250,550
clarion,ia,39776,663,46211,635,28636,682
clarion,pa,30380,619,62952,601,20006,622
clarksburg,wv,47365,621,60338,551,25984,699
clarksdale,ms,29528,573,45708,489,19021,589
clarksville,ar,31644,609,40913,612,23348,608
clarksville,tn--ky,50793,974,64714,1003,39278,949
clarksville,tx,31336,466,29734,357,35863,621
claxton,ga,34696,630,51923,565,28125,647
clay center,ks,50385,618,58472,644,30045,590
clayton,ga,30043,560,37422,531,21630,627
clearfield,pa,41588,625,53929,652,26482,588
clearlake,ca,27127,748,31882,594,25005,830
clear lake,ia,55446,745,67317,846,30432,656
clearlake riviera,ca,60000,1221,52708,1129,80863,1443
clearwood,wa,63214,1319,70000,1150,55000,1539
cleburne,tx,46819,827,57960,747,32709,865
cle elum,wa,51037,903,61048,977,36474,887
cleveland,ga,40729,723,63250,784,19708,715
cleveland,ms,30220,648,45244,596,19778,679
cleveland,oh,52538,899,71344,1025,29625,793
cleveland,ok,44844,643,50986,597,34423,667
cleveland,tn,43616,782,56430,835,30809,746
cleveland,tx,38097,705,49658,700,28777,709
clewiston,fl,36310,692,52321,643,24808,754
clifton,az,63203,412,34762,236,69384,417
clifton,tx,43058,583,56488,554,35282,607
clifton forge,va,36563,575,45217,515,17230,666
clifton springs,ny,50562,784,59977,806,30417,730
clinton,il,46578,653,60000,702,24500,548
clinton,in,35852,545,42871,582,24000,516
clinton,ia--il,42029,679,50595,723,23553,630
clinton,mo,36395,670,46512,646,23911,679
clinton,nc,29871,700,50481,811,17987,641
clinton,ok,45205,674,47121,485,36946,819
clinton,sc,32944,647,43201,540,21340,745
clintonville,wi,31688,734,45042,861,25891,662
cloquet,mn,54971,849,65445,926,25437,674
clover,sc,44958,856,63802,874,26424,827
cloverdale,ca,65719,1456,86618,1632,37976,1266
clovis,nm,40814,792,49390,727,32432,849
clyde,oh,50030,702,54677,710,36250,697
clyde,tx,50451,738,51455,637,45799,866
coalinga,ca,55197,957,72866,1148,28415,845
coamo,pr,22971,391,26201,294,15066,497
cobleskill,ny,35893,821,73173,1101,26474,750
cochran,ga,31088,576,53750,572,20203,578
coco--salinas,pr,18098,249,20176,221,9926,408
cody,wy,56250,865,66054,928,39981,794
coeburn,va,31467,600,43242,488,16194,814
coeur d'alene,id,51228,966,59609,1012,37496,904
coffeyville,ks--ok,36183,573,46777,550,23608,590
cokato,mn,51522,826,61400,1052,26898,702
colby,ks,45313,631,57202,803,20160,493
colchester,ct,93594,1506,113594,1713,50856,1176
cold spring,mn,62500,973,71470,984,22439,922
cold spring,ny,100759,1886,115625,2262,52857,1379
coldwater,mi,40129,716,52838,748,27755,690
coldwater,oh,52163,592,59444,602,16988,580
coleman,tx,37269,631,41942,612,28099,691
colfax,ca,46050,1170,55625,1462,35785,1022
colfax,wa,49750,700,65202,871,18750,603
college station--bryan,tx,40948,938,74483,1077,28145,897
collinsville,ok,50781,883,60417,845,41023,943
colonial beach,va,60938,1149,78330,1345,24824,893
colorado city,az--ut,41563,899,61500,939,33659,848
colorado city,tx,50812,558,45818,385,52010,638
colorado springs,co,60557,1165,78931,1261,40485,1058
columbia,ky,28041,477,47574,498,16139,460
columbia,ms,25044,527,42701,491,14806,600
columbia,mo,46498,883,79117,1037,28540,827
columbia,sc,54601,967,70932,1020,34351,920
columbia,tn,42345,799,55259,868,29884,742
columbia city,in,46669,747,55764,836,28711,589
columbia falls,mt,44348,787,52097,847,19601,709
columbiana,al,27431,574,40729,762,24850,525
columbiana,oh,45711,680,62746,763,26875,627
columbus,ga--al,42856,863,57407,904,31779,845
columbus,in,53915,850,64210,859,37496,842
columbus,ks,40746,549,51731,581,22150,535
columbus,ms,36032,718,53707,732,22623,710
columbus,ne,54479,750,66490,811,35540,685
columbus,oh,60421,1056,84755,1273,37248,910
columbus,tx,42116,632,51887,612,36228,637
columbus,wi,60410,1036,73784,1179,47120,817
columbus afb,ms,53025,798,46667,486,53433,937
colusa,ca,51035,907,66420,1058,32953,847
colville,wa,38556,710,50288,863,26213,636
comanche,tx,36678,476,47541,454,31404,511
commerce,ga,44906,799,54201,889,22292,769
commerce,tx,21906,714,45125,516,14466,785
concord,ca,111925,2177,135532,2501,74144,1839
concord,nh,60310,1150,85177,1435,40953,1032
concord,nc,51492,870,64035,945,35312,809
concordia,ks,40981,605,50650,574,24867,621
conesus lake,ny,61250,1074,70362,1269,26786,831
conneaut,oh,40081,604,48046,622,26714,584
connell,wa,50767,720,57117,789,21607,687
connersville,in,35046,653,45024,626,21693,676
conrad,mt,43285,683,55234,664,22250,713
conroe--the woodlands,tx,78681,1307,99453,1430,51054,1174
constantine,mi,41644,619,54333,655,21845,595
conway,ar,45034,826,70328,974,30948,775
cookeville,tn,35583,678,55047,720,21017,667
coolidge,az,40025,725,42569,585,31350,779
coopersville,mi,52180,827,63221,896,28810,694
coos bay,or,42217,816,53426,928,29805,765
coquille,or,31660,732,37095,705,19549,741
corcoran,ca,37097,819,47929,868,26598,793
cordele,ga,22959,590,32125,575,14345,607
corinth,ms,31511,568,40714,539,21503,591
corinth,ny,45046,880,54243,877,26607,883
cornelia--baldwin,ga,36224,661,42240,614,27613,683
corning,ar,22191,430,27316,407,13390,449
corning,ca,36078,867,49793,1045,24233,791
corning,ny,53690,856,66624,903,33304,821
corona de tucson,az,93653,1378,94455,1383,83365,1362
corpus christi,tx,53980,958,69907,951,37948,962
corry,pa,41923,669,54545,661,21733,672
corsicana,tx,37574,734,52574,719,24854,746
cortez,co,38506,700,50379,578,34371,751
cortland,ny,45515,791,68322,955,30848,728
corvallis,or,47394,1001,82811,1119,27711,966
corydon,in,36101,716,53983,810,22513,677
coshocton,oh,36326,595,43913,596,22125,594
cottage grove,or,39572,912,48864,995,26268,865
cottonport,la,18380,658,35625,653,15000,674
cottonwood,ca,34706,908,53143,992,21271,786
cottonwood--verde village,az,41660,906,48673,882,31533,925
cotulla,tx,36386,466,36754,430,35991,539
covington,in,46875,629,56250,642,25852,616
covington,oh,44063,713,53370,668,35500,733
covington,tn,28119,680,44400,709,19596,658
covington,va,36959,574,44844,544,24728,617
coxsackie,ny,61900,985,77695,1274,26366,723
cozad,ne,42525,693,50641,729,29388,676
craig,co,50765,768,67679,800,30216,723
crane,tx,63657,524,72244,468,39688,691
crawfordsville,in,42287,672,54614,712,29898,641
crawfordville,fl,59702,990,66029,1026,37292,863
crescent city,ca,38594,831,48894,764,27675,848
crescent city,fl,34875,460,44732,405,12321,548
cresco,ia,44157,644,53254,695,31875,595
cresson,pa,44946,679,57038,750,21413,615
creston,ia,42703,646,55694,679,26295,596
crestview,fl,58585,1095,72829,1179,36378,989
creswell,or,58379,1152,60400,1211,44659,899
crete,ne,43832,744,47010,733,25935,748
crewe,va,40186,752,51150,684,21538,775
crisfield,md,31109,641,52833,862,19583,476
crittenden,ky,44483,834,68950,967,27868,804
crockett,tx,24205,636,43459,593,14805,641
crooked lake park,fl,36863,741,38710,713,28750,916
crookston,mn,50301,680,62150,703,27031,661
crooksville,oh,33106,578,41164,569,20294,583
crosby,mn,36875,706,53875,686,23385,724
cross city,fl,31821,410,36172,360,30058,600
crossett,ar,32883,497,44181,381,16726,616
crossville,tn,35582,622,46047,589,22213,639
crowley,la,26654,557,37253,480,14287,597
crozet,va,77284,1479,83688,1445,61500,1543
crystal city,tx,26641,431,36110,406,11585,499
crystal river,fl,37616,732,51250,674,23510,797
crystal springs,ms,31538,620,44727,459,14250,778
cuba,mo,22094,582,28409,590,17366,546
cuero,tx,46667,741,60673,624,31607,829
cullman,al,42471,707,55946,823,27221,629
cullowhee,nc,33451,658,54479,595,23981,665
culpeper,va,55566,1204,80399,1467,36294,1077
cumberland,ky,24933,404,32723,379,17443,420
cumberland,md--wv--pa,40235,701,54221,729,22522,672
curwensville,pa,35200,682,46806,694,17056,644
cushing,ok,38304,637,44538,601,29271,688
cut bank,mt,38229,675,66875,827,24857,636
cuthbert,ga,25470,501,25873,447,19797,549
cynthiana,ky,30643,569,56250,706,18763,519
dahlgren,va--md,61500,1371,95521,1657,42589,1223
dahlonega,ga,24410,908,60000,1058,23150,902
daingerfield,tx,37601,625,45204,566,25824,700
dalhart,tx,52769,663,62063,594,39194,722
dallas,or,55129,843,68060,978,33622,766
dallas--fort worth--arlington,tx,61984,1130,84398,1279,42051,1019
dalton,ga,43059,708,57191,743,28931,689
dalton,oh,52929,669,57917,597,37917,702
danbury,ct--ny,83057,1660,101514,1884,46877,1379
dandridge,tn,59539,858,64271,854,26680,904
dansville,ny,34476,728,55034,814,17781,675
danville,il,39317,624,52660,575,24457,679
danville,ky,38315,685,52455,719,26447,670
danville,va--nc,36903,643,47131,671,25305,633
daphne--fairhope,al,65290,1112,79051,1151,43341,1069
darien,ga,35528,643,43260,668,25265,625
davenport,ia--il,52272,815,65848,901,30354,724
david city,ne,47984,680,59167,751,25938,649
davis,ca,61319,1467,137070,1889,32602,1374
davis,ok,47727,645,54286,600,39643,705
davis junction,il,69911,1105,72222,1161,51250,943
dawson,ga,24797,632,38617,624,16915,646
dayton,nv,55377,1047,56717,1083,53314,983
dayton,oh,50798,852,67700,942,30310,773
dayton,tn,35229,578,50875,498,21726,642
dayton,tx,50375,773,60336,731,31917,844
dayton,wa,40282,746,45417,736,33109,751
decatur,al,43162,673,59226,745,24789,629
decatur,il,45984,685,60152,703,24504,667
decatur,in,40585,668,51138,738,18245,549
decatur,tx,42189,956,64257,886,39284,971
decorah,ia,56492,741,68638,838,26944,614
deer lodge,mt,39005,535,45821,478,33833,564
deer park,wa,48646,895,50722,1028,24063,685
deerwood,tx,44813,727,44563,599,50366,1098
defiance,oh,48499,731,60330,773,29888,710
de funiak springs,fl,30893,682,39779,532,27378,739
dekalb,il,51853,979,84701,1228,30350,868
delano,ca,38797,885,52735,968,28190,826
delano,mn,70568,1226,86349,1401,30306,595
delavan,wi,49367,914,64135,1067,36197,813
delhi,la,31897,517,67143,384,18125,567
delhi,ny,36875,763,73875,883,15380,687
dell rapids,sd,65962,1061,72600,1154,40185,833
delphi,in,46048,680,55221,692,28500,657
delphos,oh,46474,721,57328,716,32361,732
del rio,tx,43754,626,56808,570,30863,680
delta,co,37743,801,46339,758,23696,828
delta,oh,58966,824,73214,876,20625,635
delta,ut,63556,582,72885,537,24412,651
deltona,fl,44575,957,50363,892,32385,1040
deming,nm,24763,431,33793,359,17017,527
demopolis,al,26809,584,47691,737,17942,541
de motte,in,50268,850,57152,917,29333,801
denison,ia,50421,673,67540,836,29071,636
denmark,sc,21616,554,37888,532,17976,575
denton,md,50000,1168,62074,1359,30179,1008
denton--lewisville,tx,76906,1322,108069,1602,43791,1088
denton southwest,tx,82820,1635,86618,1657,56114,1563
denver--aurora,co,70072,1331,90246,1452,45746,1202
denver city,tx,62515,574,64811,495,51003,697
de queen,ar,38854,582,50714,628,21442,540
dequincy,la,48324,336,49744,319,39125,578
deridder,la,44134,700,59728,641,24375,731
dermott,ar,25510,477,32917,449,13571,658
desert hot springs,ca,34540,862,41000,702,23595,929
des moines,ia,64792,1023,81979,1161,38067,868
de soto,ks,44643,841,108370,1479,28122,717
de soto,mo,38487,732,55222,772,19573,710
detroit,mi,54789,947,70598,998,31678,894
detroit lakes,mn,36737,795,58741,857,25569,712
devils lake,nd,44153,549,68432,558,30122,546
dewitt,ar,29368,557,49732,559,25938,544
de witt,ia,60492,796,77917,879,21711,726
dexter,mo,34746,644,43451,645,28807,652
diamondhead,ms,67623,928,72792,911,36875,986
diboll,tx,37830,424,45363,423,28265,467
dickinson,nd,73957,945,91106,996,40896,905
dickson,tn,40719,759,57079,852,24724,718
dilley,tx,33134,518,32768,416,35000,739
dillon,mt,37122,621,61909,636,21510,611
dillon,sc,35144,543,53906,554,19397,528
dimmitt,tx,40318,604,48042,601,27910,607
discovery bay,ca,114148,2264,119773,2279,93641,2236
dixon,ca,73018,1511,83158,1671,44676,1243
dixon,il,55524,709,63383,758,31682,642
dodge center,mn,52260,870,62689,954,31364,615
dodge city,ks,46617,759,58018,824,33820,713
dodgeville,wi,54755,925,76691,1144,42614,749
donaldsonville,la,35067,543,47500,489,16009,630
dos palos,ca,41427,868,55395,830,30000,919
dothan,al,41348,741,57985,780,26522,722
douglas,az,29790,514,34539,483,16289,559
douglas,ga,30445,595,45245,691,18460,564
douglas,mi,57649,847,62692,921,30515,804
douglas,wy,60313,864,67462,1051,48386,717
dover,de,57837,1137,68553,1200,37412,1071
dover--rochester,nh--me,61449,1169,79792,1372,40372,1024
dowagiac,mi,31193,617,46383,669,18938,577
downs,il,94375,1505,101875,1565,47344,892
dryden,ny,55150,878,76042,1044,21719,764
dublin,ga,32388,565,52689,487,19882,602
dubois,pa,42393,600,54246,566,22500,640
dubuque,ia--il,53801,809,66575,881,29334,742
duluth,mn--wi,47076,839,65376,927,26732,773
dumas,ar,23908,567,40774,487,18750,582
dumas,tx,53283,771,66235,774,38162,768
duncan,ok,40254,671,50036,642,29290,695
dundee,mi,47676,821,58682,848,32604,807
dunkirk,in,36835,524,39668,478,31161,610
dunkirk--fredonia,ny,42572,688,55515,737,23085,647
dunlap,tn,48644,682,53542,784,29554,660
dunn,nc,32179,719,47202,720,20689,718
du quoin,il,38077,569,54167,620,18523,513
durand,mi,38532,700,49848,704,24183,695
durango,co,60662,1291,77527,1344,43843,1238
durant,ms,20610,541,25125,462,15823,577
durant,ok,36452,698,50997,672,28608,705
durham,nc,56441,1078,89510,1243,37368,984
dwight,il,55597,789,74594,1026,30714,662
dyer,tn,29602,522,35532,485,17406,572
dyersburg,tn,37151,656,57306,704,25650,632
dyersville,ia,56959,694,64318,821,38871,610
eagar,az,51078,695,65288,780,27176,668
eagle,co,118579,1777,125093,1918,44725,1479
eagle grove,ia,49362,645,56250,576,27386,678
eagle lake,tx,48125,637,50915,591,29792,747
eagle mountain south,ut,65890,1345,65848,1341,66042,1372
eagle pass,tx,37481,575,42568,521,24956,620
earlimart,ca,27739,763,36753,825,21851,724
east aurora,ny,68919,966,80828,1181,42103,760
eastland,tx,27232,409,36406,396,24298,526
east liverpool,oh--wv--pa,36897,574,47117,550,24284,596
eastman,ga,35104,533,51402,540,25259,547
easton,md,52586,1101,75971,1151,33548,1068
east palestine,oh,42841,720,47588,706,28315,814
east prairie,mo,25477,491,38333,505,20016,476
east prospect,pa,51516,940,60743,992,37344,836
east quincy,ca,46438,805,49018,583,30391,857
east stroudsburg,pa--nj,57577,1244,69343,1486,34322,1056
east tawas,mi,41220,624,48651,589,32250,653
east troy,wi,59385,1058,70352,1235,36875,770
eaton,oh,35389,639,50282,741,19265,589
eaton rapids,mi,40148,808,52005,891,30600,714
eatonton,ga,25609,603,37979,616,21346,593
eatonville,wa,58542,1147,73547,1333,36786,870
eau claire,wi,50014,861,67985,969,30937,792
ebensburg,pa,46210,698,67235,815,34448,684
eden,nc,35006,606,45852,578,23110,628
edenton,nc,26267,737,52610,1022,18769,688
edgefield,sc,26118,466,42600,459,16616,507
edgerton,wi,63107,1008,76982,1190,28808,673
edgewood,nm,62704,947,66932,991,27011,719
edinboro,pa,45740,839,71976,900,28053,820
edna,tx,49625,785,64545,704,36458,864
edwards,co,72659,1508,93119,1767,50331,1325
effingham,il,46351,629,61031,666,31566,580
elberton,ga,25197,605,45153,650,14171,554
el campo,tx,50285,789,62620,783,39032,797
el centro--calexico,ca,48174,1000,70765,1232,27835,809
eldon,mo,28560,652,36964,617,21964,658
el dorado,ar,36171,621,52586,602,23387,630
eldorado,il,31017,495,38400,419,13952,626
el dorado,ks,42446,726,59348,791,25390,706
eldorado at santa fe,nm,78265,1300,80281,1231,68800,1355
el dorado springs,mo,22154,556,39141,549,14384,566
elgin,tx,49781,1017,56632,1049,37170,984
elizabeth city,nc,39273,828,60445,878,21675,793
elizabethtown,nc,20193,665,47125,735,10156,523
elizabethtown--radcliff,ky,47934,831,64656,879,36883,798
elk city,ok,52546,734,64383,684,31400,784
elkhart,in--mi,48335,761,59380,780,31651,743
elkhorn,wi,59167,1014,72361,1251,35446,816
elkin,nc,37200,705,54148,754,23680,596
elkins,wv,37662,571,53527,555,23771,582
elko,nv,76522,884,87740,690,52367,936
elkton,va,52516,914,58295,1006,36471,860
ellensburg,wa,40086,929,71559,1163,21913,860
ellenville,ny,44678,911,59226,1113,27201,795
ellijay,ga,37917,658,55236,753,19750,653
ellsworth,ks,46346,675,54844,672,27632,639
ellsworth,me,42551,734,72740,939,21701,672
ellsworth,wi,53156,789,77870,933,29531,698
ellwood city,pa,46987,715,55927,721,27834,712
elmira,ny,47207,785,64328,813,24471,757
elmwood,il,58816,788,73377,888,26894,534
eloy,az,29200,623,36250,642,18417,607
el paso,il,55518,827,66833,848,44583,816
el paso,tx--nm,41845,784,52918,791,28491,777
el paso de robles (paso robles)--atascadero,ca,68175,1422,84347,1709,49146,1200
el reno,ok,46250,696,60221,625,35149,726
elverson,pa,76382,1280,91000,1553,37708,903
elwood,in,37454,632,49055,601,24419,687
ely,mn,36179,662,40388,717,26618,556
ely,nv,57125,658,61467,519,33323,684
emajagua,pr,17660,228,20691,193,13717,389
emerald bay,tx,63475,844,63114,834,82361,883
emmetsburg,ia,47745,664,53693,679,29297,594
emmett,id,38326,751,47153,822,16409,709
emmitsburg,md--pa,70861,1311,85189,1449,34565,856
emporia,ks,37628,681,61536,778,26044,640
emporia,va,32500,731,57793,742,22200,725
emporium,pa,34911,564,48621,562,18235,564
enfield,nc,22379,745,32880,844,19345,705
england,ar,40272,650,52870,768,19655,604
enid,ok,48818,698,55697,584,40230,805
ennis,tx,44170,831,56145,766,32986,849
enterprise,al,50222,819,70805,804,32444,838
ephraim,ut,37874,713,65703,872,34500,682
ephrata,wa,60268,766,70536,820,50536,711
erie,pa,45222,764,60222,812,26242,725
erwin,tn,30763,539,38520,472,19932,588
escalon,ca,67277,1462,91389,1440,44674,1530
escanaba,mi,38934,617,53339,675,18176,535
espanola,nm,29403,503,39249,392,18131,646
esparto,ca,64182,1297,61094,1287,76220,1304
estacada,or,52054,1133,75436,1544,27000,838
estes park,co,54821,924,79874,1017,27344,855
estherville,ia,45855,705,60000,709,29521,692
estrella,az,76792,1395,81531,1402,67375,1382
etowah,tn,33479,636,41886,671,18109,613
eudora,ks,73393,1083,83384,1167,55670,994
eufaula,al--ga,30685,587,59000,651,17157,566
eugene,or,46569,1012,66680,1166,30093,932
eunice,la,30342,583,45717,489,21343,627
eunice,nm,62292,430,67083,380,60263,795
eureka,ca,43193,946,56046,1063,30851,891
eureka,il,57688,748,69741,924,28227,569
eureka,ks,35335,475,41563,448,19931,492
eureka,mo,103304,1511,114542,1645,53106,1063
evanston,wy,48438,627,55035,588,27038,652
evansville,in--ky,45343,781,61984,824,27001,740
evansville,wi,59322,1046,80150,1278,32377,800
evarts,ky,22610,343,31031,303,14891,543
everett,pa,38077,590,46764,610,20972,550
evergreen,al,19608,489,54590,445,13462,551
evergreen,co,103910,1834,110383,1882,58317,1589
everson,wa,56767,1152,70263,1250,38750,994
excelsior springs,mo,46618,811,61733,901,25050,645
fabens,tx,26089,379,29938,331,19453,503
fairbanks,ak,74535,1441,91808,1571,52188,1312
fairbury,il,42705,698,61705,840,19681,607
fairbury,ne,38361,528,53077,505,25035,563
fairdale,pa,36897,546,59576,596,17760,425
fairfield,ca,75147,1603,93929,1733,53517,1493
fairfield,il,37375,506,44557,482,28054,560
fairfield,ia,36978,646,53352,602,21611,656
fairfield,tx,48696,768,54031,728,41579,771
fairfield glade,tn,48363,664,51042,576,30605,971
fairfield harbour,nc,63538,854,62775,774,80135,1201
fair haven,vt,36524,918,55833,1051,22357,842
fairmont,mn,48874,715,65916,806,22042,555
fairmont,nc,20542,474,33537,505,11671,426
fairmont,wv,45554,658,57306,568,27099,757
fairmount,in,42824,644,52581,717,27740,543
fairview,tn,63373,1016,74417,1078,29792,938
fajardo,pr,19265,422,23924,369,10717,469
falfurrias,tx,20286,510,29637,390,13834,578
fallon,nv,46374,835,63878,894,32803,791
falls city,ne,44848,564,49313,568,25313,481
fargo,nd--mn,55292,886,82336,1141,33988,768
faribault,mn,51214,875,68393,983,28063,772
farmersville,tx,50326,825,65455,630,30799,883
farmerville,la,24057,388,33989,320,13962,552
farmington,me,33281,606,44492,636,17898,566
farmington,mo,41172,669,52757,687,29420,648
farmington,nh,52303,948,81055,1103,27611,844
farmington,nm,54632,841,65274,843,34926,840
farmville,nc,47262,907,79375,1305,21466,559
farmville,va,35673,771,70294,527,24578,818
fayette,al,31809,493,53576,399,17076,504
fayette,mo,42880,614,54219,574,18176,704
fayetteville,nc,44641,918,60041,966,32444,890
fayetteville,tn,36207,620,46486,645,21448,603
fayetteville--springdale--rogers,ar--mo,52309,870,74441,994,36001,794
fearrington village,nc,71076,734,73214,689,61550,963
federalsburg,md,33162,804,65625,921,20804,747
fellsmere,fl,28818,690,38651,582,26000,745
fergus falls,mn,41376,662,63393,696,22831,618
fernandina beach,fl,64814,1161,78290,1142,37089,1198
fernley,nv,53482,992,60882,963,44681,1024
ferriday,la,18913,479,25440,423,14338,488
filer,id,46023,908,61211,872,28929,928
fillmore,ca,62843,1546,77928,1811,31483,1247
findlay,oh,48736,771,65559,849,31399,722
firebaugh,ca,37717,748,52766,1086,24693,689
firestone--frederick,co,84006,1484,89450,1543,63000,1175
fitzgerald,ga,28072,638,39444,666,19353,623
flagstaff,az,53910,1177,82801,1234,34847,1148
flemingsburg,ky,32541,492,41569,478,23307,505
flint,mi,42283,769,54043,806,24317,736
flora,il,41452,583,53966,731,22279,506
florence,al,41942,664,56067,717,24280,634
florence,az,38790,599,45280,385,29042,721
florence,co,39407,682,40379,618,35547,807
florence,or,34767,711,42326,615,24422,810
florence,sc,43622,756,58446,813,29123,729
floresville,tx,52628,745,53897,701,41845,848
florida--imbéry--barceloneta,pr,17023,286,19670,243,9895,480
floydada,tx,41969,430,42021,383,39625,704
foley,al,41643,841,50715,800,34146,863
folkston,ga,37928,547,43674,535,22222,561
fond du lac,wi,51138,803,64361,926,32603,734
fordyce,ar,31823,621,42786,506,29306,660
forest,ms,24662,649,39583,648,19458,656
forest city,ia,46855,616,58523,710,25741,526
forest city,nc,33487,596,40778,562,23412,618
forest lake,mn,72996,1224,91110,1373,41883,1001
forestville,ca,48889,1354,59194,1559,32917,1200
forks,wa,35769,568,44091,542,29286,588
forney,tx,80681,1500,88600,1533,41862,1220
forrest city,ar,30945,599,41585,623,22548,591
forsyth,ga,28045,668,32019,758,19536,623
forsyth,mo,32512,629,38277,574,21578,669
fort atkinson,wi,52479,914,69388,1098,34790,804
fort bragg,ca,41578,1039,61211,1021,31458,1046
fort branch,in,54680,757,67986,823,35750,665
fort collins,co,62976,1222,83734,1295,37813,1151
fort defiance,az--nm,32318,303,26019,189,41458,445
fort dodge,ia,38898,655,50633,700,24509,627
fort leonard wood,mo,51319,1055,65353,1170,46893,1030
fort lupton,co,54126,1007,71343,1072,34335,901
fort madison,ia--il,43642,617,54419,602,27417,632
fort meade,fl,41057,602,49688,562,30673,716
fort morgan,co,46853,747,58114,698,36526,769
fort payne,al,33750,540,39714,523,27266,556
fort plain,ny,36227,676,58008,687,21706,666
fort polk,la,45221,1039,73750,1005,43764,1040
fort scott,ks,31521,569,40086,561,21456,576
fort smith,ar--ok,37609,673,51376,709,26345,649
fort stockton,tx,44712,645,52685,483,40682,842
fortuna,ca,46464,998,55672,1106,27435,923
fort valley,ga,23497,562,49200,548,19056,585
fort walton beach--navarre--wright,fl,62829,1144,77476,1188,43753,1106
fort wayne,in,49195,749,62216,783,29911,717
fostoria,oh,36465,618,41180,606,25540,637
four corners,fl,54129,1076,60029,952,47500,1212
four corners,mt,74675,1410,87279,1554,40625,882
fowlerville,mi,45847,887,70075,962,25938,807
frankenmuth,mi,49978,766,85000,1013,33125,640
frankfort,in,41816,681,52012,681,29803,676
frankfort,ky,51259,807,69620,936,35318,701
franklin,ky,37172,721,52385,692,28371,726
franklin,la,38891,520,45096,446,32180,682
franklin,nh,46677,941,67896,1144,28847,850
franklin,nc,32381,632,41769,549,23620,665
franklin (venango county),pa,39218,581,51658,548,24012,606
franklin,va,37817,879,63790,1000,28660,843
franklin--highland lake,nj,82671,1562,91815,1719,45203,1253
franklinton,la,25356,538,36141,507,12976,571
fraser,co,47581,997,66346,1154,38929,936
frazier park,ca,33672,811,47663,844,22943,748
frederick,md,84482,1597,105803,1763,52358,1373
frederick,ok,34468,488,41354,442,26250,605
fredericksburg,tx,50078,852,67656,771,31188,927
fredericksburg,va,77539,1417,99613,1564,47613,1284
fredericktown,mo,24401,515,31862,458,20625,562
freeport,il,37061,652,51424,665,23265,635
fremont,mi,45128,613,56287,671,15000,490
fremont,ne,50320,758,62199,814,36250,732
fremont,oh,42747,679,55173,726,22743,651
fresno,ca,50111,1062,74181,1267,31489,957
friona,tx,44827,556,51438,477,34464,668
fritch,tx,52825,567,53263,544,42813,741
front royal,va,53138,1019,62574,1101,35559,932
frostproof,fl,39156,535,43038,493,26507,630
fulton,ky--tn,26702,482,40806,458,18681,501
fulton,ms,24259,512,67305,427,16403,561
fulton,mo,40273,647,63359,721,23056,619
gadsden,al,39171,626,49734,607,23722,634
gaffney,sc,31012,565,43315,510,16539,615
gainesville,fl,42323,932,69644,964,26711,920
gainesville,ga,51906,935,64285,987,36132,894
gainesville,tx,43759,804,59837,778,33056,823
galax,va,30750,548,43317,494,20074,583
galena,il,46552,715,53534,688,37016,738
galena,ks--mo,41750,638,48367,567,31136,770
galesburg,il,37665,604,50384,599,23364,610
galion,oh,36538,575,43624,566,25066,592
galliano--larose--cut off,la,56147,648,58683,508,37989,813
gallup,nm,40335,696,54282,662,22576,714
galt,ca,68370,1425,76700,1553,41767,1226
galveston,tx,40500,872,63600,826,31804,883
garden city,ks,49690,779,61423,874,40373,738
gardnerville ranchos,nv,54222,1064,62168,1082,42173,1054
garner,ia,59972,731,76042,838,29294,594
garnett,ks,33220,686,33939,623,28417,745
garrettsville,oh,48917,727,63698,769,31327,713
gastonia,nc--sc,45364,814,58674,862,29995,780
gatesville,tx,39602,671,45526,626,28047,705
gautier,ms,49030,887,58244,1013,40097,812
gaylord,mi,40553,710,55224,667,26216,734
geneseo,il,60870,838,69306,926,22305,643
geneseo,ny,33476,856,86944,1058,21201,799
geneva,al,33438,517,39257,429,22750,563
geneva,ny,45322,787,62820,844,25317,750
geneva,oh,35000,628,52359,704,13049,599
genoa,il,56422,1004,70614,990,41220,1015
genoa,oh,56953,741,65393,756,41000,785
georgetown,de,45244,778,49295,784,37015,774
georgetown,ky,62725,919,75408,1011,39571,800
georgetown,oh,37597,685,59196,859,14521,577
georgetown,sc,34648,741,47524,754,21053,723
gibson city,il,41292,618,54766,624,24625,618
giddings,tx,42795,815,52115,654,25583,906
gillespie,il,40536,640,54844,633,22923,643
gillette,wy,74627,1058,86384,1204,47804,926
gilman,il,46318,641,55625,641,30000,660
gilmer,tx,36772,642,48036,521,21984,718
gilroy--morgan hill,ca,96331,2060,125861,2448,52560,1635
girard,ks,40679,698,48667,648,27188,732
gladwin,mi,31486,594,49375,700,18576,511
glasgow,ky,30524,671,40884,651,24471,673
glasgow,mt,61133,715,76875,823,26950,496
glencoe,mn,52275,848,67788,882,24245,822
glendive,mt,59250,638,69855,614,39069,640
glennville,ga,44531,778,49639,846,26700,548
glens falls,ny,55507,979,72956,1096,32918,880
glenville,wv,26333,521,48906,451,12471,545
glenwood,ia,59079,829,73636,914,23935,675
glenwood springs,co,63651,1304,83958,1492,38400,1188
